RCC FILE NAME,Full Sample Name,Cell Line,Condition,What,Column,Spike In,Experiment Date,Replicate Number ,Date Shipped ,RCC File Date
20160608_ES060816miRNAV3aC2_8TN_08.RCC,8TN,THP,Normoxia,August THP Normox,None,No spike in ,8.11.15,T-3,5.13.16,6.8.16
20160608_ES060816miRNAV3aC2_8TIH_09.RCC,8TIH,THP,Intermittent Hypoxia,August THP IH,None,No spike in ,8.11.15,T-3,5.13.16,6.8.16
20160608_ES060816miRNAV3aC2_8TSH_10.RCC,8TSH,THP,Sustained Hypoxia,August THP SH,None,No spike in ,8.11.15,T-3,5.13.16,6.8.16
20160708_ES070816miRNAV3aC3_8UN_04.RCC,8UN,U937,Normoxia,August U937 Norm,None,No spike in ,8.11.15,U-4,5.13.16,7.8.16
20160708_ES070816miRNAV3aC3_8UIH_05.RCC,8UIH,U937,Intermittent Hypoxia,August U937 IH,None,No spike in ,8.11.15,U-4,5.13.16,7.8.16
20160708_ES070816miRNAV3aC3_8USH_06.RCC,8USH,U937,Sustained Hypoxia,August U937 SH,None,No spike in ,8.11.15,U-4,5.13.16,7.8.16
20160608_ES060816miRNAV3aC2_11UN_05.RCC,11UN,U937,Normoxia,November U937 Norm,None,No spike in ,11.5.15,U-5,5.13.16,6.8.16
20160608_ES060816miRNAV3aC2_11UIH_06.RCC,11UIH,U937,Intermittent Hypoxia,November U937 IH,None,No spike in ,11.5.15,U-5,5.13.16,6.8.16
20160608_ES060816miRNAV3aC2_11USH_07.RCC,11USH,U937,Sustained Hypoxia,November U937 SH,None,No spike in ,11.5.15,U-5,5.13.16,6.8.16
20160708_ES070816miRNAV3aC3_7UN_07.RCC,7UN,U937,Normoxia,July U937 Norm,None,No spike in ,7.21.15,U-6,5.13.16,7.8.16
20160708_ES070816miRNAV3aC3_7UIH_08.RCC,7UIH,U937,Intermittent Hypoxia,July U937 IH,None,No spike in ,7.21.15,U-6,5.13.16,7.8.16
20160708_ES070816miRNAV3aC3_7USH_09.RCC,7USH,U937,Sustained Hypoxia,July U937 SH,None,No spike in ,7.21.15,U-6,5.13.16,7.8.16
20160606_ES060616miRNAV3aC1_9TN_07.RCC,9TN,THP,Normoxia,Sept THP Normox,None,No spike in ,9.25.15,T-4,5.13.16,6.6.16
20160606_ES060616miRNAV3aC1_9TIH_08.RCC,9TIH,THP,Intermittent Hypoxia,Sept THP IH,None,No spike in ,9.25.15,T-4,5.13.16,6.6.16
20160608_ES060816miRNAV3aC2_9TSH_04.RCC,9TSH,THP,Sustained Hypoxia,Sept THP SH,None,No spike in ,9.25.15,T-4,5.13.16,6.8.16
20160602_ES052616miRNAV3aC2_Blank_11.RCC,Blank1,Blank,Blank1,Blank1,Blank1,,,,,,
20160602_ES052616miRNAV3aC2_Blank_12.RCC,Blank2,Blank,Blank2,Blank2,Blank2,Blank2,,,,,
